F5GI2_00143	F5GI_2_bin.3	AA3
F5GI2_00177	F5GI_2_bin.3	GH18
F5GI2_00233	F5GI_2_bin.3	GH38
F5GI2_00251	F5GI_2_bin.3	GH20
F5GI2_00407	F5GI_2_bin.3	GH2
F5GI2_00428	F5GI_2_bin.3	GH32
F5GI2_00485	F5GI_2_bin.3	GH32
F5GI2_00487	F5GI_2_bin.3	CE16
F5GI2_00521	F5GI_2_bin.3	GH23
F5GI2_00617	F5GI_2_bin.3	GT9
F5GI2_00731	F5GI_2_bin.3	GT4
F5GI2_00734	F5GI_2_bin.3	GT4
F5GI2_00777	F5GI_2_bin.3	GH13
F5GI2_00997	F5GI_2_bin.3	GH4
F5GI2_01016	F5GI_2_bin.3	AA6
F5GI2_01034	F5GI_2_bin.3	GH23
F5GI2_01043	F5GI_2_bin.3	GT19
F5GI2_01076	F5GI_2_bin.3	CBM73
F5GI2_01105	F5GI_2_bin.3	GH102
F5GI2_01127	F5GI_2_bin.3	GH23
F5GI2_01141	F5GI_2_bin.3	GH2
F5GI2_01145	F5GI_2_bin.3	GH63
F5GI2_01163	F5GI_2_bin.3	GH23
F5GI2_01230	F5GI_2_bin.3	GH9
F5GI2_01232	F5GI_2_bin.3	GH20
F5GI2_01233	F5GI_2_bin.3	GH94
F5GI2_01243	F5GI_2_bin.3	GT51
F5GI2_01274	F5GI_2_bin.3	PL22
F5GI2_01294	F5GI_2_bin.3	GH1
F5GI2_01337	F5GI_2_bin.3	PL6
F5GI2_01340	F5GI_2_bin.3	PL38
F5GI2_01342	F5GI_2_bin.3	GH23
F5GI2_01350	F5GI_2_bin.3	PL7
F5GI2_01351	F5GI_2_bin.3	AA2
F5GI2_01371	F5GI_2_bin.3	PL7
F5GI2_01372	F5GI_2_bin.3	PL17
F5GI2_01373	F5GI_2_bin.3	PL17
F5GI2_01438	F5GI_2_bin.3	GH36
F5GI2_01485	F5GI_2_bin.3	GT2
F5GI2_01552	F5GI_2_bin.3	AA4
F5GI2_01615	F5GI_2_bin.3	GH13
F5GI2_01662	F5GI_2_bin.3	PL7
F5GI2_01667	F5GI_2_bin.3	GT41
F5GI2_01694	F5GI_2_bin.3	GH2
F5GI2_01697	F5GI_2_bin.3	GH36
F5GI2_01723	F5GI_2_bin.3	GH13
F5GI2_01745	F5GI_2_bin.3	GT2
F5GI2_01746	F5GI_2_bin.3	GT83
F5GI2_01840	F5GI_2_bin.3	GH36
F5GI2_01957	F5GI_2_bin.3	GH18
F5GI2_02043	F5GI_2_bin.3	GH18
F5GI2_02251	F5GI_2_bin.3	CE1
F5GI2_02288	F5GI_2_bin.3	GT90
F5GI2_02289	F5GI_2_bin.3	GT2
F5GI2_02290	F5GI_2_bin.3	GT2
